Bug ID,Module,Feature,Bug Title,Description,Root Cause,Proposed Fix,Priority,Severity,Status,Assigned Team,Testing Required,Retest Required,Notes
BUG-001,src-tauri/execution/paper.rs,Paper Trading,Hardcoded starting portfolio balance,VirtualPortfolio initial balance is hardcoded to 1000000.0 in lib.rs instead of sourced from real broker margins or user config,Static literal balance:1000000.0 at managed-state init,Source starting equity from Kite margins API or persist user-configured value,Medium,Medium,Open,Backend,Yes,Yes,lib.rs managed-state init around portfolio bootstrap
BUG-002,src-tauri/lib.rs,Test Mode Gating,is_test_mode truthiness mismatch,is_test_mode() returns true if ALPHA_TEST_MODE is set to ANY value via is_ok() while audit_logger checks ==1/true causing inconsistent mock gating,Inconsistent env var interpretation across modules,Standardize on a single helper checking value in (1,true),Medium,High,Open,Backend,Yes,Yes,Risk: accidental ALPHA_TEST_MODE in prod bypasses live Zerodha/LLM with TEST_KEY
BUG-003,src-tauri/services/llm.rs,LLM Key Resolution,TEST_KEY returned in test mode,resolve_api_key returns literal TEST_KEY when is_test_mode true; if test mode leaks to prod all LLM calls use a bogus key,Test convenience path coupled to env flag,Ensure ALPHA_TEST_MODE never set in production builds; add startup guard/log,Medium,High,Open,Backend,Yes,Yes,Mirror issue in commands/sentiment.rs
BUG-004,src-tauri/commands/deep_quant.rs,Deep Quant Agent,Hardcoded Python agent URL,run_deep_quant_agent posts to http://localhost:8086/run with no env override,Inline string literal for endpoint,Read DEEP_QUANT_AGENT_URL from env with localhost fallback,Low,Medium,Open,Backend,Yes,No,Also tool_server resume posts to :8086/resume hardcoded
BUG-005,aggregator/src/quant/mod.rs,Consensus Engine,ConsensusEngine not wired into OHLC pipeline,compile_consensus implemented but never called from ohlc_server::process_candle; module marked dead_code,Indicator pipeline (SMA50/200,MACD,SAR,RSI) not connected,Wire compile_consensus into process_candle before WS broadcast and remove allow(dead_code),Medium,Medium,Open,Backend,Yes,Yes,PENDING note documented at top of mod.rs
BUG-006,aggregator/src/kite_api.rs,Kite Quote Proxy,Quote handler skeleton not routed,QuoteData/QuoteParams structs and quote_handler exist as dead_code and are not added to the axum router,Incomplete wiring of quote endpoint,Implement and register quote_handler route or remove skeleton,Low,Low,Open,Backend,Yes,No,dead_code skeleton
BUG-007,src-tauri/services/instrument_master.rs,Instrument Sync,Empty placeholder sync function,spawn_instrument_sync is an empty dead_code placeholder; real sync lives in lib.rs setup,Leftover placeholder API,Remove dead placeholder or implement properly to avoid confusion,Low,Low,Open,Backend,No,No,allow(dead_code) annotated
BUG-008,src-tauri/services/llm.rs,LLM Event Emit,emit_all unwrap can panic,handle.emit_all(...).unwrap() in the LLM path can panic if the event channel fails during production analysis,Unhandled Result on emit,Replace unwrap with let _ = or log-on-error,Medium,High,Open,Backend,Yes,Yes,Two occurrences in agent status emits
BUG-009,src-tauri/commands/deep_quant.rs,Sentinel Indicators,Silent neutral indicator fallbacks,Non-finite indicators default silently (rsi->50,macd->0,ema/vwap->close,vol_mult->1) which can feed the LLM neutral data when upstream is missing,Defensive defaults mask absent/bad data,Detect insufficient data and surface a warning instead of substituting neutral values,Medium,Medium,Open,Quant,Yes,Yes,Affects run_sentinel_loop and glass-box indicator prep
BUG-010,frontend/src/hooks,Chart Drawing,Silent empty catch blocks,Multiple empty catch {} blocks in useDrawingEngine/useDrawingRenderer/DrawingOverlays swallow errors on series invalidation,Intentional swallow during chart teardown,Add debug-level logging to aid diagnosis while keeping non-fatal behavior,Low,Low,Open,Frontend,No,No,Low risk but reduces observability
BUG-011,frontend/src/hooks/useTauriLiveData.ts,Live Data Binding,Empty catch on subscribe,subscribe_ticker invocation wrapped in empty catch {} marked non-fatal,Non-Tauri/browser context tolerance,Log a debug warning to distinguish browser-preview from real failure,Low,Low,Open,Frontend,No,No,Commented as non-fatal
BUG-012,monorepo,Port Configuration,KITE_API_PORT 8084 vs 8087 mismatch,.env sets KITE_API_PORT=8087 while code defaults and tool_server bind 8084 risking endpoint/port confusion,Default constants diverge from .env,Unify on a single documented port and read from env everywhere,Medium,Medium,Open,DevOps,Yes,Yes,Tool server :8084 also overlaps aggregator kite_api default
BUG-013,src-tauri/commands/deep_quant.rs,Candle Loader,Hardcoded minimum candle limit,load_candles_from_db forces limit.max(100) ignoring caller-requested smaller limits,Hardcoded floor to guarantee indicator window,Make minimum a named constant and document; allow override where safe,Low,Low,Open,Backend,No,No,Comment: Hardcode minimum fetch limit to 100 candles
BUG-014,monorepo,Test Coverage,No tests for backend/pipeline services,aggregator/ingestion/agents(predictive,technical,quant-rag,sentiment,deep-quant-loop)/alpha-backend have zero automated tests,Tests were only written for Tauri LLM contract + e2e,Add unit/integration tests for each service and a CI gate,Medium,Medium,Open,QA,Yes,Yes,Coverage gap flagged in inventory
BUG-015,alpha-backend/payment-service+auth-service,Generated Prisma Code,TODO markers in generated client,Prisma-generated library.d.ts contains TODO comments (count does not exist / what is this),Vendor-generated code,No action required; do not edit generated files,Low,Low,Wont Fix,Backend,No,No,Not first-party code
BUG-016,src-tauri/services/llm.rs,Wait Tool,Sandbox wait cap via env flag,DEEP_QUANT_SIMULATE_WAIT=true caps candle-wait sleep to 30s; if set in prod the wait-for-confirmation logic is shortened,Sandbox/test convenience env flag,Document clearly and guard against accidental prod enablement,Low,Medium,Open,Backend,Yes,No,Also present in deep_quant.rs glass-box loop
