Bug ID,Feature,Expected Behavior After Fix,Test Scenario,Test Steps,Expected Result,Status
BUG-FIX-001,Deep Quant AI Analysis,Parse failure returns honest HOLD diagnostic not a fabricated winning plan,Force LLM to emit prose instead of JSON,Trigger run_ai_analysis and stub model output as prose | Observe final_analysis_ready,Plan has conviction_score 1 and HOLD/NO TRADE execution_plan with diagnostic text,Fixed - Pending Verification
BUG-FIX-002,Order Flow Imbalance,OFI is computed from real live ticks or shown as N/A never hardcoded 0.0,Run analysis with and without live_ticks data,Run with >=10 ticks then with empty live_ticks | Inspect OFI line in prompt,With data OFI in -1..1; without data OFI shows N/A do-not-weight,Fixed - Pending Verification
BUG-FIX-003,LangGraph Agent Fallback Removal,No rule-based fallback plan is emitted on LLM failure,Make the LLM provider unreachable,POST /run with broken LLM endpoint | Watch SSE stream,Only an ERROR event AI analysis unavailable is emitted; no FALLBACK_PLAN or synthesized JSON,Fixed - Pending Verification
BUG-FIX-004,Frontend Plan Synthesis Removal,RUN_FINISHED only sets finalTrade from a real model plan,Agent completes without emitting parseable JSON,Run agent that ends with no JSON plan | Inspect store finalTrade,finalTrade stays null and no conviction 75 plan is synthesized,Fixed - Pending Verification
BUG-FIX-005,JWT Authentication,Expired JWT returns 401 not 403 and client re-logs in,Call protected route with an expired token,Set token exp in past | Call /auth/me | Observe response and UI,Response 401 code TOKEN_EXPIRED; frontend clears session and shows AuthOverlay,Fixed - Pending Verification
BUG-FIX-006,Portfolio Broker Session,Broker session expiry is distinguishable from JWT expiry,Valid JWT with dead broker token,Call /portfolio/margins | Inspect status and code,403 with code BROKER_SESSION_EXPIRED triggers broker reconnect not logout,Fixed - Pending Verification
BUG-FIX-007,Chart Fullscreen Mode,Minimize restores layout without overflow or reload,Toggle fullscreen off,Enter fullscreen | Exit | Observe layout,Card returns to flex-1 width; no horizontal scroll; no page reload; chart resizes,Fixed - Pending Verification
BUG-FIX-008,Live WS-IPC Bridges,Bridges reconnect automatically after upstream drop,Restart the OHLC WS upstream,Start session | Kill :8081 | Restart it,Bridge reconnects via backoff and resumes ohlc-tick events without app restart,Fixed - Pending Verification
BUG-FIX-009,Deep Quant Tool Schema,Both LLM surfaces advertise identical tools with valid schemas,Inspect advertised tools,Trigger glass-box and agentic paths | Capture tool schema sent,fetch_news_context includes empty parameters object; wait_for_next_candle has a dispatch arm,Fixed - Pending Verification
BUG-FIX-010,Declare Trade Persistence,declare_trade commits a structured plan rather than no-op,Agent calls declare_trade,Run agent to a declare_trade call,Rust tool server emits final_analysis_ready and agent-declared-trade events,Fixed - Pending Verification
BUG-FIX-011,News Context Source,No phantom news endpoint is probed; Google RSS is primary,Run news fetch with NEWS_API_URL unset,Invoke fetch_news_context | Observe network,Goes straight to Google News RSS; no request to nonexistent :8084/:8087 /api/news,Fixed - Pending Verification
BUG-005,Consensus Engine Wiring,compile_consensus runs inside ohlc_server before broadcast,Aggregator processes a candle,Feed ticks forming a candle | Inspect broadcast payload,Broadcast includes consensus fields and dead_code allow removed,Open
BUG-001,Paper Trading Balance,Starting equity comes from real margins or user config,Initialize portfolio,Start app with broker connected,Initial balance reflects real margins not hardcoded 1000000.0,Open
BUG-002,Test Mode Gating,ALPHA_TEST_MODE interpreted consistently across modules,Set ALPHA_TEST_MODE to various values,Set to 1 then to false then unset | Observe mock gating,All modules agree on enabled/disabled; prod never silently mocks,Open
BUG-008,LLM Event Emit,emit failures do not panic the analysis loop,Force an emit failure,Run analysis while dropping event receiver,Loop continues and logs the emit error instead of panicking,Open
BUG-012,Port Configuration,Single documented Kite API port used everywhere,Start full system,Launch services | Verify Kite API port,All components agree on one KITE_API_PORT from env with no 8084/8087 split,Open
