Feature ID,Feature Name,Module,Description,Priority,Status,Target Release,Owner,Notes
FEAT-001,Live Trading Chart,frontend/AlphaPredictiveChart,Lightweight-charts candlestick chart with EMA9/EMA21 overlays and real-time tick updates,High,Implemented,v1.0,Unassigned,Uses lightweight-charts with ResizeObserver-driven resize
FEAT-002,Multi-Profile Layouts,frontend/layouts,Intraday/Swing/Investor layout modes switching chart context and side panels,Medium,Implemented,v1.0,Unassigned,IntradayLayout/SwingLayout/InvestorLayout
FEAT-003,Chart Fullscreen Mode,frontend/page+TerminalLayout,Toggle chart to viewport-filling overlay with Esc-to-exit and tools bar,Medium,Implemented,v1.0,Unassigned,isFullscreen lifted to useChartUIStore; min-w-0 flex chain fix applied
FEAT-004,Drawing Tools,frontend/ChartToolsBar,Trend lines/fib/patterns/shapes/text drawing tools with cursor and magnet modes,High,Implemented,v1.0,Unassigned,Tool dispatch via useChartUIStore; useId for color picker
FEAT-005,Workspace Persistence,frontend/useChartUIStore+db.rs,Per-symbol drawing workspace saved/loaded to local SQLite via Tauri,Medium,Implemented,v1.0,Unassigned,save_workspace/load_workspace commands; 1s debounce autosave
FEAT-006,Predictive Ghost Curve Overlay,frontend/useChartDataSync+quant,VWEPR/OLS dual-engine projection curve rendered on chart,Medium,Implemented,v1.0,Unassigned,compute_ghost_curve command; acceleration coefficient badge
FEAT-007,Fibonacci Zone Overlay,frontend/useFibZoneOverlay,Colored fib retracement zones drawn over the chart canvas,Low,Implemented,v1.0,Unassigned,Ref-based overlay, no re-renders
FEAT-008,Watchlist & Instrument Search,frontend/WatchlistPanel+instruments.rs,Searchable NSE instrument watchlist driving the active chart symbol,High,Implemented,v1.0,Unassigned,search_instruments backed by local SQLite instrument master
FEAT-009,Real-time Symbol Quote Header,frontend/page,Live LTP/OHLC/percent-change header polled every 30s from Kite proxy,Medium,Implemented,v1.0,Unassigned,Fetches /kite/quote with AbortController
FEAT-010,Deep Quant AI Analysis,src-tauri/deep_quant+llm.rs,LLM tool-calling Glass-Box agent producing structured AiExecutionPlan,High,Implemented,v1.0,Unassigned,run_ai_analysis -> run_glass_box_loop; tools: fetch_higher_timeframe/fetch_news_context/wait_for_next_candle
FEAT-011,Deep Quant LangGraph Agent,agents/deep-quant-loop,Python ReAct loop (FIND/VERIFY) streaming reasoning over SSE,High,Implemented,v1.0,Unassigned,FastAPI :8086; tools via Rust tool server :8084; no fallback (LLM-only)
FEAT-012,AI Sentinel Watchdog,src-tauri/deep_quant,Background monitor that polls indicators and alerts on high-conviction triggers,Medium,Implemented,v1.0,Unassigned,deploy_ai_sentinel; generate_sentinel_plan; conviction>60 alert
FEAT-013,Order Flow Imbalance (OFI),src-tauri/deep_quant,Real OFI proxy computed from live_ticks tick-rule + quote location,Medium,Implemented,v1.0,Unassigned,compute_order_flow_imbalance; NaN rendered as N/A when no live data
FEAT-014,Paper Trading Simulation,src-tauri/execution/paper.rs,Virtual portfolio with 2% risk sizing and tick-driven SL/TP auto-close,High,Implemented,v1.0,Unassigned,execute_paper_trade; starting balance hardcoded 1000000.0
FEAT-015,Quant Radar Live Scanner,src-tauri/quant/radar.rs,Background worker evaluating ConsensusEngine across 50 F&O symbols,Medium,Implemented,v1.0,Unassigned,Emits radar-alert events
FEAT-016,Consensus Engine,src-tauri/quant/mod.rs,Trend/momentum/volatility/volume scoring with patterns and strategies,High,Implemented,v1.0,Unassigned,compile_consensus; MACD/RSI/BB/EMA
FEAT-017,Sentiment Analysis (Decoupled),src-tauri/sentiment.rs+agents/sentiment,Google News RSS + LLM conviction scoring independent of tick flow,Medium,Implemented,v1.0,Unassigned,fetch_symbol_sentiment; Redis dedup in Node agent; 10m TTL cache frontend
FEAT-018,Live Tick Ingestion,ingestion,Kite WebSocket binary parse -> dual sink Kafka + QuestDB,High,Implemented,v1.0,Unassigned,Dynamic subscribe via TCP control :8085
FEAT-019,OHLC Aggregation,aggregator/ohlc_server.rs,Tick-to-candle aggregation broadcast over WS :8081,High,Implemented,v1.0,Unassigned,Feeds chart and live bridges
FEAT-020,Technical Signal Agent,agents/technical,RSI/VWAP computation publishing technical_signals to Kafka,Medium,Implemented,v1.0,Unassigned,Rust consumer of market.ticks
FEAT-021,Predictive OLS Agent,agents/predictive,OLS linear regression next-close prediction with R2 confidence,Medium,Implemented,v1.0,Unassigned,Pure math, no LLM; WS :8082
FEAT-022,Quant-RAG Insight Agent,agents/quant-rag,Anomaly detection (>=2% move) -> LLM insight to Kafka signals.insights,Medium,Implemented,v1.0,Unassigned,WS :8083
FEAT-023,Aggregator Decision Engine,aggregator/engine.rs,Weighted fusion of sentiment + technical signals into trade_decisions,High,Implemented,v1.0,Unassigned,Publishes Kafka + WS :8080
FEAT-024,Historical Data Backfill,src-tauri/history_loader.rs,Lazy on-demand 5yr historical load into QuestDB with dynamic SAMPLE BY,High,Implemented,v1.0,Unassigned,get_historical_view/load_historical
FEAT-025,Live WS-IPC Bridges,src-tauri/live_bridges.rs,Lazy WS bridges (OHLC/Predictive/Insight) with reconnect backoff,High,Implemented,v1.0,Unassigned,ensure_bootstrapped; reconnect 1s-30s backoff added
FEAT-026,Local Tool Server,src-tauri/quant/tool_server.rs,HTTP endpoints on :8084 for Python agent (candles/consensus/multi-tf/watch/declare_trade),High,Implemented,v1.0,Unassigned,declare_trade now persists via final_analysis_ready event
FEAT-027,Price Condition Watcher,src-tauri/tool_server.rs,Registers live price/volume watchers that resume the Python agent,Medium,Implemented,v1.0,Unassigned,watch_condition; resumes via :8086/resume
FEAT-028,JWT Authentication,alpha-backend/auth-service,Signup/login issuing 24h JWT; auto-logout on expiry,High,Implemented,v1.0,Unassigned,401 on expired token; frontend decodes exp at boot
FEAT-029,Zerodha Broker OAuth,alpha-backend/auth-service+frontend,Kite Connect connect/callback exchanging request token for access token,High,Implemented,v1.0,Unassigned,Deep link strat://broker-callback; BrokerConnectCard with back button
FEAT-030,Portfolio Proxy API,alpha-backend/portfolioController,Margins/positions/holdings/orders/trades proxied from Kite with Redis cache,High,Implemented,v1.0,Unassigned,403 BROKER_SESSION_EXPIRED code for broker re-auth
FEAT-031,Subscription & Payments,alpha-backend/payment-service,PhonePe checkout/webhook/redirect with tier upgrade,Medium,Implemented,v1.0,Unassigned,Tier gating PRO/PREMIUM
FEAT-032,Security Vault,src-tauri/security.rs+SecurityVault,Stronghold-encrypted storage for LLM/Zerodha API keys,High,Implemented,v1.0,Unassigned,argon2id key derivation
FEAT-033,Trade Journaling,src-tauri/db.rs,Completed trades persisted to local SQLite with retrieval,Medium,Implemented,v1.0,Unassigned,log_completed_trade/get_trade_history
FEAT-034,Macro Context Injection,src-tauri/deep_quant.rs,NIFTY 50 daily trend injected into LLM prompt for market direction,Low,Implemented,v1.0,Unassigned,fetch_macro_context from historical_candles
FEAT-035,Aggregator ConsensusEngine Wiring,aggregator/quant,Wire compile_consensus into ohlc_server process_candle before WS broadcast,Medium,Pending,v1.1,Unassigned,Currently dead_code with PENDING note; implemented but not invoked
FEAT-036,Backend/Pipeline Test Coverage,monorepo,Automated tests for aggregator/ingestion/agents/backend services,Medium,Pending,v1.1,Unassigned,Zero coverage today; only Tauri + e2e tests exist
FEAT-037,User Symbol Radar with Pattern/Strategy Visualization,frontend/quant/QuantRadar.tsx+src-tauri/quant/scanner.rs+radar.rs,User-managed radar where each chosen symbol is scanned for located candle patterns and institutional strategies on a selectable timeframe with the triggering candle index/timestamp captured and rendered as markers/highlight box/price-line overlays on the chart,High,Implemented,v1.1,Unassigned,Refactors FEAT-015 to user-driven RadarRegistry; native desktop-only via scan_radar_symbol (QuestDB PG pool fetch+scan in Rust no browser); scan_quant_radar/set_radar_symbols/get_radar_symbols; located detections via scanner.rs; useRadarOverlay draws on chart
